60,0,0,0,40,40,30,90,90,70,100,70,50,0,0,10,50,40,40,50,40,0,1,1,1,1,1,1,1,1,1
100,90,40,40,60,80,70,70,10,40,30,60,80,60,90,80,40,50,50,80,70,1,1,1,1,1,1,1,1,1,1
10,20,90,60,60,100,20,90,10,60,70,90,100,40,80,90,30,30,80,10,70,0,0,0,0,0,0,0,0,0,0
10,50,40,90,90,40,0,70,60,60,70,30,30,70,60,40,50,40,0,50,40,1,1,1,0,0,1,1,1,0,1
0,0,100,60,20,30,30,30,30,0,50,0,0,20,10,70,70,0,90,80,60,1,0,0,0,0,0,0,0,0,0
90,60,80,60,70,20,70,80,20,50,0,30,70,50,70,50,0,40,40,20,50,1,0,1,0,0,0,1,1,1,1
80,70,40,0,30,30,70,60,70,80,100,70,70,80,100,20,50,100,70,30,80,1,1,1,1,0,1,1,1,1,0
0,50,50,10,40,100,100,0,80,10,20,60,30,0,30,50,90,30,40,90,80,1,0,1,0,0,0,0,1,0,1
90,30,20,80,70,20,70,0,20,60,50,100,10,20,20,80,100,70,0,90,20,0,1,1,1,1,1,0,0,0,0
50,50,80,20,30,30,20,0,70,70,100,20,100,70,100,80,30,70,0,40,0,1,0,1,0,0,1,1,0,0,0
